raw_row_number,date,time,zipcode,zcta_race,district,subject_age,subject_race,subject_sex,officer_id_hash,department_name,type,arrest_made,citation_issued,warning_issued,outcome,contraband_found,search_conducted,search_vehicle,search_basis,reason_for_stop,raw_subject_race_code,raw_subject_ethnicity_code,raw_search_authorization_code,raw_intervention_disposition_code
1265,December,12:25:00,6103,white,DOWNTOWN,47,black,male,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,B,N,N,I
1236,December,12:25:00,6103,white,DOWNTOWN,48,black,male,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,B,N,N,I
1254,December,12:44:00,6120,black,CLAY-ARSENAL,40,white,male,d3be705adb,Hartford,vehicular,FALSE,FALSE,FALSE,,FALSE,TRUE,TRUE,consent,Other,W,N,C,M
1272,December,12:47:00,6103,white,DOWNTOWN,31,hispanic,female,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1276,December,12:47:00,6118,white,,31,hispanic,female,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,W,H,N,I
1252,December,13:00:00,6103,white,DOWNTOWN,20,white,male,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,W,N,N,I
1259,December,13:10:00,6106,hispanic_or_latino,PARKVILLE,21,hispanic,female,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,V
1256,December,13:20:00,6106,hispanic_or_latino,PARKVILLE,24,white,female,81f290e452,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Seatbelt,W,N,N,I
1245,December,13:31:00,6106,hispanic_or_latino,BEHIND THE ROCKS,20,white,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,N,N,W
1235,December,13:40:00,6106,hispanic_or_latino,PARKVILLE,37,black,male,81f290e452,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,B,N,N,I
1273,December,13:49:00,6106,hispanic_or_latino,PARKVILLE,26,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,H,N,W
1257,December,13:50:00,6106,hispanic_or_latino,FROG HOLLOW,24,hispanic,male,6f73b6b0a3,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Display of Plates,W,H,N,M
1262,December,14:06:00,6120,black,NORTHEAST,26,hispanic,female,47d3cb2a78,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,H,N,I
1246,December,14:44:00,6103,white,DOWNTOWN,23,black,female,720f053826,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Cell Phone,B,N,N,M
1274,December,14:45:00,6106,hispanic_or_latino,SHELDON-CHARTER OAK,35,white,male,eb86afb6ec,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Display of Plates,W,N,N,V
1267,December,15:00:00,6103,white,DOWNTOWN,30,black,male,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Cell Phone,B,N,N,I
1243,December,15:08:00,6120,black,NORTHEAST,70,black,female,47d3cb2a78,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Stop Sign,B,N,N,W
1255,December,15:19:00,6120,black,CLAY-ARSENAL,28,black,male,47d3cb2a78,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Moving Violation,B,N,N,W
1240,December,16:32:00,6103,white,DOWNTOWN,20,black,male,21a87849c1,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,B,N,N,I
1232,December,16:38:00,6120,black,NORTHEAST,47,white,female,47d3cb2a78,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Stop Sign,W,N,N,I
1263,December,17:00:00,6103,white,DOWNTOWN,54,black,female,720f053826,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Other,B,N,N,I
1233,December,17:15:00,6103,white,DOWNTOWN,47,white,female,bfd95da21a,Hartford,vehicular,FALSE,FALSE,TRUE,warning,,FALSE,FALSE,,Traffic Control Signal,W,N,N,W
1251,December,18:34:00,6106,hispanic_or_latino,BEHIND THE ROCKS,26,white,male,9652aa80ca,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Defective Lights,W,N,N,I
1237,December,20:53:00,6106,hispanic_or_latino,FROG HOLLOW,23,white,male,027b5eaf0e,Hartford,vehicular,FALSE,TRUE,FALSE,citation,,FALSE,FALSE,,Traffic Control Signal,W,N,N,I
1250,December,21:30:00,6106,hispanic_or_latino,FROG HOLLOW,38,hispanic,male,b4f8d33a43,Hartford,vehicular,FALSE,FALSE,FALSE,,,FALSE,FALSE,,Other,W,H,N,M
